[2026-01-18 23:35:39,957] 13 root -INFO-Initiate the data ingestion
[2026-01-18 23:35:42,545] 49 root -INFO-Performed train test split
[2026-01-18 23:35:42,545] 50 root -INFO-Exited split_data_as_train_test method of Data_ingestion class
[2026-01-18 23:35:42,588] 57 root -INFO-exported train test split
[2026-01-18 23:35:42,588] 15 root -INFO-Data ingestion completed
[2026-01-18 23:35:42,588] 16 root -INFO-Initiate the data validation
[2026-01-18 23:35:42,593] 66 root -INFO-Data Validation Started
[2026-01-18 23:35:42,613] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:35:42,613] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:35:42,617] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:35:42,617] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:35:42,808] 82 root -INFO-No Data Drift found between train and test data
[2026-01-18 23:35:42,808] 85 root -INFO-Data Validation Completed
